coefficient_name,value,constrain
walk_transit_CBD_ASC_atwork,0.58,F
drive_transit_CBD_ASC_atwork,0.0,T
coef_density_walk_atwork,0.0437,F
coef_density_bike_atwork,0.0,T
coef_density_wlktrn_atwork,0.0,T
coef_distpen_drvtrn_atwork,0.0,T
coef_drvratio_knr_atwork,0.0,T
coef_drvratio_pnr_atwork,0.0,T
coef_age010_wlktrn_atwork,0.0,T
coef_age1619_da_atwork,0.0,T
coef_age16p_sr_atwork,0.0,T
coef_hhsize1_sr_atwork,0.0,T
coef_hhsize2_sr_atwork,0.0,T
coef_topology_bike_atwork,0.0,T
coef_topology_knr_atwork,0.0,T
coef_topology_pnr_atwork,0.0,T
coef_topology_walk_atwork,0.0,T
coef_topology_wlktrn_atwork,0.0,T
WALK_MR_ASC_atwork,0.8176832330845063,F
WALK_BM_ASC_atwork,-999.0,T
WALK_CR_ASC_atwork,-2.63,F
WALK_AB_ASC_atwork,0.3216907888743583,F
PNR_MR_ASC_atwork,-999.0,T
PNR_BM_ASC_atwork,-999.0,T
PNR_AB_ASC_atwork,-999.0,T
PNR_CR_ASC_atwork,-999.0,T
KNR_MR_ASC_atwork,-999.0,T
KNR_BM_ASC_atwork,-999.0,T
KNR_CR_ASC_atwork,-999.0,T
KNR_AB_ASC_atwork,-999.0,T
coef_nest_AUTO,0.72,F
coef_nest_AUTO_DRIVEALONE,0.35,F
coef_nest_AUTO_SHAREDRIDE2,0.35,F
coef_nest_AUTO_SHAREDRIDE3,0.35,F
coef_nest_NONMOTORIZED,0.72,F
coef_nest_RIDEHAIL,0.36,F
coef_nest_root,1.0,T
coef_nest_SCHOOL_BUS,0.72,F
coef_nest_TRANSIT,0.72,F
coef_nest_TRANSIT_KNRACCESS,0.5,F
coef_nest_TRANSIT_PNRACCESS,0.5,F
coef_nest_TRANSIT_WALKACCESS,0.5,F
bike_ASC_auto_deficient_discretionary,-2.589367222326359,F
bike_ASC_auto_sufficient_discretionary,-3.615898444527365,F
bike_ASC_no_auto_discretionary,1.9520973129143828,F
joint_bike_ASC_auto_deficient_discretionary,-13.584504173602083,F
joint_bike_ASC_auto_sufficient_discretionary,-2.482012620071585,F
joint_bike_ASC_no_auto_discretionary,-999.0,T
joint_knr_transit_ASC_auto_deficient_discretionary,-999.0,T
joint_knr_transit_ASC_auto_sufficient_discretionary,-999.0,T
joint_knr_transit_ASC_no_auto_discretionary,-999.0,T
joint_pnr_transit_ASC_auto_deficient_discretionary,-999.0,T
joint_pnr_transit_ASC_auto_sufficient_discretionary,-999.0,T
joint_pnr_transit_ASC_no_auto_discretionary,-999.0,T
joint_sr2_ASC_auto_deficient_discretionary,7.924776057780976,F
joint_sr2_ASC_auto_sufficient_discretionary,0.5232868452952818,F
joint_sr2_ASC_no_auto_discretionary,0.0,T
joint_sr3p_ASC_auto_deficient_discretionary,-17.234104315029505,F
joint_sr3p_ASC_auto_sufficient_discretionary,-0.44603641051584897,F
joint_sr3p_ASC_no_auto_discretionary,14.87501995805206,F
joint_taxi_ASC_auto_deficient_discretionary,-13.206197245923944,F
joint_taxi_ASC_auto_sufficient_discretionary,-2.4933155693098197,F
joint_taxi_ASC_no_auto_discretionary,0.0,T
joint_tnc_shared_ASC_auto_deficient_discretionary,-13.786197245923937,F
joint_tnc_shared_ASC_auto_sufficient_discretionary,-2.4933155693098197,F
joint_tnc_shared_ASC_no_auto_discretionary,0.0,T
joint_tnc_single_ASC_auto_deficient_discretionary,-15.18619725592394,F
joint_tnc_single_ASC_auto_sufficient_discretionary,-2.4933155693098197,F
joint_tnc_single_ASC_no_auto_discretionary,0.0,T
joint_walk_ASC_auto_deficient_discretionary,-3.9886169044996533,F
joint_walk_ASC_auto_sufficient_discretionary,2.0819427648485274,F
joint_walk_ASC_no_auto_discretionary,26.401182319708056,F
joint_walk_transit_ASC_auto_deficient_discretionary,-11.534640063969013,F
joint_walk_transit_ASC_auto_sufficient_discretionary,-2.509335307268369,F
joint_walk_transit_ASC_no_auto_discretionary,31.006950532435848,F
knr_transit_ASC_auto_deficient_discretionary,-1.1791758498217177,F
knr_transit_ASC_auto_sufficient_discretionary,-2.1190093416224958,F
knr_transit_ASC_no_auto_discretionary,2.0146204322404593,F
pnr_transit_ASC_auto_deficient_discretionary,-999.0,T
