coefficient_name,value,constrain
coef_iwait_school,-0.02533,T
coef_xwait_school,-0.02601,T
coef_xfers_drv_school,0.0,T
coef_walktimeshort_school,-0.03111,T
coef_walktime_school,-0.03111,T
coef_auxwalk_school,-0.02601,T
coef_bike_time_school,-0.02499,T
coef_drivetime_school,-0.03094,T
coef_ASC_s2_da_school,-1.1879183874597208,F
coef_ASC_s3_da_school,-3.5528215000741845,F
coef_ASC_s3_s2_school,-1.3456594956112229,F
coef_ASC_walk_da_school,-2.5952989922978387,F
coef_ASC_walk_s2_school,-3.0793631947186313,F
coef_ASC_walk_s3_school,-5.708735892162326,F
coef_ASC_bike_walk_school,-2.83578290255234,F
coef_ASC_walktrn_s2_school,-2.6322979758371083,F
coef_ASC_walktrn_s3_school,-2.0,T
coef_ASC_walktrn_walk_school,1.3052043555088186,F
coef_ASC_walktrn_bike_school,0.0,T
coef_ASC_walktrn_taxi_school,-2.0,T
coef_ASC_walktrn_tnc_single_school,-2.0,T
coef_ASC_walktrn_tnc_shared_school,-15.0,T
coef_ASC_wlktrn_mr_school,2.202401831146844,F
coef_ASC_wlktrn_bm_school,1.4143429457008403,F
coef_ASC_wlktrn_cr_school,-2.0,T
coef_ASC_pnr_mr_school,2.710251437,F
coef_ASC_pnr_bm_school,0.0,T
coef_ASC_pnr_cr_school,0.0,T
coef_ASC_knr_mr_school,-2.0,T
coef_ASC_knr_bm_school,1.7579077273956891,F
coef_ASC_knr_cr_school,-2.0,T
coef_ASC_rh_s2_school,-2.0,T
coef_ASC_rh_s3_school,-2.0,T
coef_ASC_rh_walk_school,-2.0,T
coef_ASC_taxi_school,0.0,T
coef_ASC_tnc_single_school,0.0,T
coef_ASC_tnc_shared_school,0.0,T
coef_ASC_nostop_s2_da_school,0.0,T
coef_ASC_nostop_s3_da_school,0.0,T
coef_ASC_nostop_s3_s2_school,0.0,T
coef_ASC_obstops_first_s2_da_school,0.0,T
coef_ASC_obstops_first_s3_da_school,0.0,T
coef_ASC_obstops_first_s3_s2_school,0.0,T
coef_ASC_ibstops_last_s2_da_school,0.0,T
coef_ASC_ibstops_last_s3_da_school,0.0,T
coef_ASC_ibstops_last_s3_s2_school,0.0,T
coef_ASC_schbus_s2_school,-9.1115064252201,F
coef_ASC_schbus_s3_school,-9.864187859414605,F
coef_ASC_schbus_walk_school,-9.93033905152335,F
coef_ASC_joint_sr2_school,0.0,T
coef_ASC_joint_sr3_school,0.0,T
coef_ASC_joint_walk_school,0.0,T
coef_ASC_joint_bike_school,0.0,T
coef_ASC_joint_walktrn_school,0.0,T
coef_ASC_joint_knrtrn_school,0.0,T
coef_ASC_joint_pnrtrn_school,0.0,T
coef_ASC_joint_rh_school,0.0,T
# Maintenance,,
coef_ivt_maintenance,-0.0359,T
coef_cost_maintenance,-0.000388,T
coef_iwait_maintenance,-0.05385,T
coef_xwait_maintenance,-0.0632,T
coef_xfers_drv_maintenance,0.0,T
coef_walktimeshort_maintenance,-0.062530047,T
coef_walktime_maintenance,-0.082249765,T
coef_auxwalk_maintenance,-0.0718,T
coef_bike_time_maintenance,-0.087980282,T
coef_drivetime_maintenance,-0.0718,T
coef_ASC_s2_da_maintenance,-0.6617554283402007,F
coef_ASC_s3_da_maintenance,-1.024372348276012,F
coef_ASC_s3_s2_maintenance,-1.1907173397040893,F
coef_ASC_walk_da_maintenance,-2.884153799043009,F
coef_ASC_walk_s2_maintenance,-4.070312753660877,F
coef_ASC_walk_s3_maintenance,-5.955027264420912,F
coef_ASC_bike_walk_maintenance,-2.0,T
coef_ASC_walktrn_s2_maintenance,-4.875029764003365,F
coef_ASC_walktrn_s3_maintenance,-5.683633461378072,F
coef_ASC_walktrn_walk_maintenance,1.0655814328707005,F
coef_ASC_walktrn_bike_maintenance,2.0,T
coef_ASC_walktrn_taxi_maintenance,-5.0717574787849475,F
coef_ASC_walktrn_tnc_single_maintenance,-3.734819069352248,F
coef_ASC_walktrn_tnc_shared_maintenance,-15.0,F
coef_ASC_wlktrn_mr_maintenance,1.102998939434149,F
coef_ASC_wlktrn_bm_maintenance,1.5680192170125724,F
coef_ASC_wlktrn_cr_maintenance,-2.0,T
coef_ASC_pnr_mr_maintenance,0.0,T
coef_ASC_pnr_bm_maintenance,0.0,T
coef_ASC_pnr_cr_maintenance,0.0,T
coef_ASC_knr_mr_maintenance,-1.2071144349015914,T
coef_ASC_knr_bm_maintenance,0.0,T
coef_ASC_knr_cr_maintenance,0.0,T
coef_ASC_rh_s2_maintenance,-6.136525469714541,F
coef_ASC_rh_s3_maintenance,-3.5465318627900797,F
coef_ASC_rh_walk_maintenance,0.6761835198165105,F
coef_ASC_taxi_maintenance,0.0,T
coef_ASC_tnc_single_maintenance,0.0,T
coef_ASC_tnc_shared_maintenance,0.0,T
coef_ASC_nostop_s2_da_maintenance,0.0,T
coef_ASC_nostop_s3_da_maintenance,0.0,T
coef_ASC_nostop_s3_s2_maintenance,0.0,T
coef_ASC_obstops_first_s2_da_maintenance,0.0,T
coef_ASC_obstops_first_s3_da_maintenance,0.0,T
coef_ASC_obstops_first_s3_s2_maintenance,0.0,T
coef_ASC_ibstops_last_s2_da_maintenance,0.0,T
coef_ASC_ibstops_last_s3_da_maintenance,0.0,T
coef_ASC_ibstops_last_s3_s2_maintenance,0.0,T
coef_ASC_schbus_da_maintenance,0.0,T
coef_ASC_schbus_s2_maintenance,0.0,T
coef_ASC_schbus_s3_maintenance,0.0,T
coef_ASC_schbus_walk_maintenance,0.0,T
coef_ASC_joint_sr2_maintenance,0.0,T
coef_ASC_joint_sr3_maintenance,0.0,T
coef_ASC_joint_walk_maintenance,0.0,T
coef_ASC_joint_bike_maintenance,0.0,T
coef_ASC_joint_walktrn_maintenance,0.0,T
coef_ASC_joint_pnrtrn_maintenance,0.0,T
coef_ASC_joint_knrtrn_maintenance,0.0,T
coef_ASC_joint_rh_maintenance,0.0,T
# Discretionary,,
coef_ivt_discretionary,-0.0399,T
coef_cost_discretionary,-0.001985634,T
coef_iwait_discretionary,-0.0644,T
coef_xwait_discretionary,-0.0877,T
coef_xfers_drv_discretionary,0.0,T
coef_walktimeshort_discretionary,-0.069497183,T
coef_walktime_discretionary,-0.091414085,T
